movie_id,title,genres,release_year,rating,popularity
1066262,The Convert,"[28, 18]",2024,6.2,199.191
1225977,Last Night at Terrace Lanes,"[27, 53, 35]",2024,5.5,176.722
671,Harry Potter and the Philosopher's Stone,"[12, 14]",2001,7.9,218.592
829557,365 Days: This Day,"[10749, 18]",2022,5.878,213.715
940551,Migration,"[16, 28, 12, 35, 10751]",2023,7.4,216.392
928480,Monster Summer,"[12, 14, 9648, 27]",2024,6.5,213.445
335984,Blade Runner 2049,"[878, 18]",2017,7.6,136.453
667538,Transformers: Rise of the Beasts,"[878, 12, 28]",2023,7.289,216.554
550,Fight Club,[18],1999,8.437,208.31
1145491,Operation Black Ops,"[28, 53]",2023,5.55,203.496
1047373,The Silent Hour,"[80, 53, 28]",2024,6.3,203.379
566525,Shang-Chi and the Legend of the Ten Rings,"[28, 12, 14]",2021,7.544,202.537
1129598,Prey,"[28, 53, 27]",2024,6.3,202.032
475557,Joker,"[80, 53, 18]",2019,8.1,201.229
1328814,Amityville: Where the Echo Lives,"[27, 9648]",2024,6.3,201.007
1138194,Heretic,"[27, 53]",2024,7.1,200.766
173705,Female Teacher: In Front of the Students,"[18, 9648, 27]",1982,6.6,200.03
20352,Despicable Me,"[16, 10751, 35]",2010,7.245,199.97
814889,Never Let Go,"[27, 18]",2024,6.3,199.619
1066262,The Convert,"[28, 18]",2024,6.2,199.191
1064213,Anora,"[35, 18, 10749]",2024,7.3,197.398
1079485,Winnie-the-Pooh: Blood and Honey 2,"[27, 53]",2024,6.14,196.675
923667,Twilight of the Warriors: Walled In,"[28, 12, 80, 53]",2024,6.9,193.258
156022,The Equalizer,"[53, 28, 80]",2014,7.3,192.911
1216191,Oddity,"[27, 9648]",2024,6.9,191.498
293660,Deadpool,"[28, 12, 35]",2016,7.624,190.413
5492,Gunner,"[28, 53, 80]",2024,5.358,189.226
929590,Civil War,"[10752, 28, 18]",2024,6.902,187.781
940139,Here,[18],2024,6.4,187.589
588648,Dragonkeeper,"[28, 12, 16, 10751, 14]",2024,7.6,171.865
13,Forrest Gump,"[35, 18, 10749]",1994,8.5,134.767
166428,How to Train Your Dragon: The Hidden World,"[16, 10751, 12]",2019,7.751,151.363
675353,Sonic the Hedgehog 2,"[28, 12, 10751, 35]",2022,7.497,173.852
940139,Here,[18],2024,6.421,187.589
592831,Megalopolis,"[878, 18]",2024,5.5,164.917
