movie_id,title,genres,release_year,rating,popularity
8285,The Spirit,Action|Comedy|Crime|Fantasy|Drama,2008,4.7,23.409
4614,The Sum of All Fears,Thriller|Action|Drama,2002,6.347,23.408
613,Downfall,Drama|History|War,2004,7.86,23.403
9433,The Edge,Action|Adventure|Drama,1997,6.847,23.4
6557,27 Dresses,Comedy|Romance,2008,6.422,23.397
464502,Acrimony,Drama|Thriller,2018,6.7,23.393
944,Lethal Weapon 4,Action|Adventure|Comedy|Crime|Thriller,1998,6.6,23.391
1070514,Zom 100: Bucket List of the Dead,Comedy|Horror,2023,6.6,23.389
604605,Hello World,Animation|Romance|Science Fiction|Drama,2019,7.3,23.381
12448,The Hunchback of Notre Dame II,Animation|Family|Comedy,2002,5.4,23.378
39451,Little Fockers,Comedy|Romance,2010,5.646,23.374
351339,Anthropoid,History|Thriller|War,2016,7.14,23.372
8222,High Heels,Drama|Comedy|Crime,1991,7.1,23.37
671622,My Sister-in-law's Secret,Drama,2019,6.2,23.368
1372348,Черный замок,History|Adventure,2024,0.0,23.367
136400,2 Guns,Action|Comedy|Crime,2013,6.538,23.364
591538,The Tragedy of Macbeth,Drama|War,2021,6.935,23.356
586791,Little Fish,Romance|Science Fiction|Drama,2021,7.0,23.354
570503,Tune in for Love,Romance|Drama,2019,7.8,23.354
105814,The Imp,Horror,1996,4.9,23.354
978,Seven Years in Tibet,Adventure|Drama|History,1997,7.164,23.354
16353,Ong Bak 2,Adventure|Action|Thriller,2008,6.4,23.351
1311546,Paris 2024 Olympic Opening Ceremony,Documentary,2024,5.4,23.345
938086,Dangerous Younger Cousin,Drama|Family,2021,10.0,23.345
575094,Abigail,Adventure|Fantasy|Mystery,2019,6.1,23.345
840069,Attraction 3,,2024,0.0,23.343
396461,Under the Silver Lake,Crime|Drama|Mystery,2018,6.4,23.339
1367275,Caramelo e outros 500,Drama|Animation,2024,0.0,23.338
1359065,Lovesick,Drama|Thriller,2024,0.0,23.338
726759,Tetris,Thriller|History|Drama,2023,7.7,23.33
388399,Patriots Day,Action|Crime|Drama|History|Thriller,2016,7.1,23.327
56142,Conversation Piece,Drama|Romance,1974,7.3,23.32
1150366,Jenni,Drama|Music,2024,10.0,23.315
2832,Identity,Mystery|Thriller,2003,7.2,23.313
9948,The Fox and the Hound 2,Adventure|Animation|Comedy|Family,2006,6.0,23.312
1159799,My Penguin Friend,Family|Adventure|Drama,2024,7.6,23.306
11679,xXx: State of the Union,Action|Adventure|Crime|Thriller,2005,5.047,23.667
553147,Fool's Paradise,Comedy,2023,4.6,14.2
118957,Bait,Horror,2012,5.7,23.649
526007,The Night Clerk,Thriller|Crime|Drama,2020,6.256,23.648
9313,The Man in the Iron Mask,Adventure|Action|Drama,1998,6.637,23.647
5653,Luther,Drama|History,2003,6.4,23.644
50723,Naruto Shippuden the Movie: The Lost Tower,Adventure|Action|Animation,2010,7.09,23.627
638597,YES DAY,Family|Comedy,2021,6.717,23.621
774531,Young Woman and the Sea,History|Drama,2024,7.925,23.613
1302017,Uhaw,Drama,2024,5.0,23.612
353616,Pitch Perfect 3,Comedy|Music,2017,6.5,23.605
290512,The Mountain Between Us,Drama|Adventure|Romance,2017,6.7,23.604
226486,Tammy,Comedy,2014,5.3,18.793
923,Dawn of the Dead,Horror,1978,7.5,23.595
11046,Where Eagles Dare,Action|Adventure|War,1968,7.5,23.592
7305,Alive,Adventure|Drama|History,1993,6.883,23.589
127372,Emperor,Drama|History|War,2012,6.091,23.586
192,The Name of the Rose,Drama|Thriller|Mystery,1986,7.485,23.584
296098,Bridge of Spies,Thriller|Drama,2015,7.235,23.582
2567,The Aviator,Drama,2004,7.225,23.577
2043,Along Came a Spider,Crime|Mystery|Thriller|Action,2001,6.335,23.23
323675,Ride Along 2,Action|Comedy,2016,6.252,23.224
680058,The Rescue,Documentary,2021,8.0,23.216
13510,Eden Lake,Horror|Thriller,2008,6.8,23.21
38408,Life As We Know It,Comedy|Romance|Drama,2010,6.914,23.208
778810,Fireheart,Animation|Family|Comedy,2022,7.2,23.206
638,Lost Highway,Drama|Thriller|Mystery,1997,7.6,23.206
28667,The Gorgon,Horror|Fantasy,1964,6.292,23.205
1170657,Barbie and Stacie to the Rescue,Animation|Family,2024,7.1,23.203
46146,Troll Hunter,Fantasy|Horror,2010,6.7,23.203
70578,Trespass,Thriller,2011,5.519,23.202
1592,Primal Fear,Crime|Drama|Mystery|Thriller,1996,7.7,23.201
63710,Honey 2,Music|Comedy|Drama,2011,6.282,23.199
1632,Mississippi Burning,Drama|Crime,1988,7.7,23.198
291276,Unlocked,Action|Thriller,2017,6.252,23.197
1061855,Richard the Stork and the Mystery of the Great Jewel,Animation|Adventure|Comedy|Family,2023,6.8,23.193
75629,Evangelion: 3.0 You Can (Not) Redo,Animation|Science Fiction|Action|Drama,2012,7.2,23.19
9303,Bound,Drama|Thriller|Crime,1996,7.2,23.184
14864,The Hot Spot,Romance|Crime|Thriller,1990,6.3,23.183
1122618,Good One,Drama,2024,6.1,23.181
10649,The Enforcer,Crime|Action,1976,6.7,21.269
66075,My Father's Private Secretary,Comedy,1976,5.3,16.658
4964,Knocked Up,Comedy|Romance|Drama,2007,6.286,20.517
2135,The Time Machine,Science Fiction|Adventure|Action,2002,6.258,17.766
1022690,Ricky Stanicky,Comedy,2024,6.5,30.082
1232732,Quite Like Paradise,Drama|Crime|Comedy,2024,8.2,22.404
785545,Shaun the Sheep: The Flight Before Christmas,Animation|Comedy|Family,2021,6.9,19.531
200085,The Flu,Action|Science Fiction|Thriller,2013,7.531,26.767
2312,In the Name of the King: A Dungeon Siege Tale,Adventure|Fantasy|Action|Drama,2007,4.75,18.765
1323784,Bad Influence,Drama|Thriller|Romance,,0.0,20.763
9614,Happy Gilmore,Comedy,1996,6.642,23.513
47407,Milf,Comedy,2010,4.5,19.903
12096,The Pink Panther,Comedy|Mystery|Crime|Adventure|Family,2006,5.8,24.262
1911,The 13th Warrior,Adventure|History|Action,1999,6.7,24.262
